"MarkettypeID","TradingMonth","RiskPremium1","SMB1","HML1"
"P9716","2014-03","-0.008618","0.002982","0.017989"
"P9717","2014-03","-0.045748","-0.005423","-0.014793"
"P9705","2014-04","-0.021499","-0.005534","0.030456"
"P9706","2014-04","-0.008170","-0.013082","-0.002906"
"P9707","2014-04","0.006600","-0.009697","-0.016558"
"P9710","2014-04","-0.008191","-0.013234","-0.001476"
"P9709","2014-04","-0.008659","-0.013465","-0.001654"
"P9712","2014-04","-0.008170","-0.013082","-0.002906"
"P9713","2014-04","-0.007700","-0.012765","-0.002447"
"P9714","2014-04","-0.008659","-0.013465","-0.001654"
"P9715","2014-04","-0.008191","-0.013234","-0.001476"
"P9701","2014-04","-0.005685","-0.006413","0.003573"
"P9703","2014-04","-0.015909","-0.001131","-0.014611"
"P9716","2014-04","-0.005685","-0.006413","0.003573"
"P9717","2014-04","-0.016666","0.000828","-0.012169"
"P9705","2014-05","0.048315","0.041424","-0.017622"
"P9706","2014-05","0.010639","0.013581","-0.002124"
"P9707","2014-05","-0.023457","0.017505","0.012853"
"P9710","2014-05","0.010944","0.017272","0.002459"
"P9709","2014-05","0.012042","0.018032","0.002148"
"P9712","2014-05","0.010639","0.013581","-0.002124"
"P9713","2014-05","0.009545","0.012734","-0.001967"
"P9714","2014-05","0.012042","0.018032","0.002148"
"P9715","2014-05","0.010944","0.017272","0.002459"
"P9701","2014-05","0.007483","0.007354","-0.009801"
"P9703","2014-05","0.020376","0.019217","-0.001971"
"P9716","2014-05","0.007483","0.007354","-0.009801"
"P9717","2014-05","0.024188","0.026574","0.003629"
"P9705","2014-06","0.082217","0.031536","0.022818"
"P9706","2014-06","0.019875","0.027528","-0.006165"
"P9707","2014-06","0.017379","0.001200","-0.005154"
"P9710","2014-06","0.022289","0.032200","-0.000843"
"P9709","2014-06","0.022425","0.033129","-0.000558"
"P9712","2014-06","0.019875","0.027528","-0.006165"
"P9713","2014-06","0.019805","0.026631","-0.006435"
"P9714","2014-06","0.022425","0.033129","-0.000558"
"P9715","2014-06","0.022289","0.032200","-0.000843"
"P9701","2014-06","0.017338","0.018618","-0.011738"
"P9703","2014-06","0.027584","0.039011","0.001466"
"P9716","2014-06","0.017338","0.018618","-0.011738"
"P9717","2014-06","0.035613","0.043941","0.007373"
"P9705","2014-07","-0.015519","0.016308","0.034336"
"P9706","2014-07","0.088968","0.008255","0.012432"
"P9707","2014-07","0.088002","-0.039277","0.025313"
"P9710","2014-07","0.084674","-0.001693","0.014892"
"P9709","2014-07","0.084584","-0.000124","0.016330"
"P9712","2014-07","0.088968","0.008255","0.012432"
"P9713","2014-07","0.088941","0.006315","0.010517"
"P9714","2014-07","0.084584","-0.000124","0.016330"
"P9715","2014-07","0.084674","-0.001693","0.014892"
"P9701","2014-07","0.089548","0.012905","0.008257"
"P9703","2014-07","0.087239","-0.002696","0.031161"
"P9716","2014-07","0.089548","0.012905","0.008257"
"P9717","2014-07","0.071992","-0.015186","0.038781"
"P9705","2014-08","0.071794","0.029572","0.015402"
"P9706","2014-08","0.006187","0.062226","-0.029638"
"P9707","2014-08","0.042243","0.028189","0.003738"
"P9710","2014-08","0.009668","0.061971","-0.028319"
"P9709","2014-08","0.008793","0.062476","-0.028451"
"P9712","2014-08","0.006187","0.062226","-0.029638"
"P9713","2014-08","0.007168","0.061617","-0.029738"
"P9714","2014-08","0.008793","0.062476","-0.028451"
"P9715","2014-08","0.009668","0.061971","-0.028319"
"P9701","2014-08","-0.003679","0.059481","-0.030088"
"P9703","2014-08","0.035066","0.059412","-0.026582"
"P9716","2014-08","-0.003679","0.059481","-0.030088"
"P9717","2014-08","0.040198","0.058292","-0.021763"
"P9705","2014-09","0.120815","0.062043","0.055312"
"P9706","2014-09","0.067040","0.104750","-0.024025"
"P9707","2014-09","0.063362","0.077436","-0.047786"
"P9710","2014-09","0.069100","0.105929","-0.025604"
"P9709","2014-09","0.069261","0.105106","-0.021968"
"P9712","2014-09","0.067040","0.104750","-0.024025"
"P9713","2014-09","0.066936","0.105649","-0.028164"
"P9714","2014-09","0.069261","0.105106","-0.021968"
"P9715","2014-09","0.069100","0.105929","-0.025604"
"P9701","2014-09","0.056192","0.104442","-0.017492"
"P9703","2014-09","0.096792","0.097148","-0.020731"
"P9716","2014-09","0.056192","0.104442","-0.017492"
"P9717","2014-09","0.100127","0.096624","-0.013156"
"P9705","2014-10","-0.005302","0.019807","-0.008147"
"P9706","2014-10","0.021804","0.003922","0.014167"
"P9707","2014-10","-0.010884","-0.000487","-0.007032"
"P9710","2014-10","0.019714","0.000978","0.013431"
"P9709","2014-10","0.020591","0.001645","0.013511"
"P9712","2014-10","0.021804","0.003922","0.014167"
"P9713","2014-10","0.020852","0.003173","0.014319"
"P9714","2014-10","0.020591","0.001645","0.013511"
"P9715","2014-10","0.019714","0.000978","0.013431"
"P9701","2014-10","0.024276","0.009863","0.016920"
"P9703","2014-10","0.015212","-0.000412","0.017014"
"P9716","2014-10","0.024276","0.009863","0.016920"
"P9717","2014-10","0.012203","-0.003310","0.017205"
"P9705","2014-11","0.057840","0.040017","0.027026"
"P9706","2014-11","0.100389","-0.043294","0.048069"
"P9707","2014-11","0.049666","-0.025015","0.024110"
"P9710","2014-11","0.097269","-0.038427","0.048476"
"P9709","2014-11","0.098566","-0.039928","0.048573"
"P9712","2014-11","0.100389","-0.043294","0.048069"
"P9713","2014-11","0.098985","-0.041783","0.047424"
"P9714","2014-11","0.098566","-0.039928","0.048573"
"P9715","2014-11","0.097269","-0.038427","0.048476"
"P9701","2014-11","0.116826","-0.051126","0.041521"
"P9703","2014-11","0.056145","-0.015974","0.040863"
"P9716","2014-11","0.116826","-0.051126","0.041521"
"P9717","2014-11","0.056385","-0.004373","0.036550"
"P9705","2014-12","-0.114805","-0.048198","-0.032054"
"P9706","2014-12","0.188051","-0.224988","0.163812"
"P9707","2014-12","0.054867","-0.079223","0.025046"
"P9710","2014-12","0.171933","-0.232445","0.157869"
"P9709","2014-12","0.175011","-0.235821","0.160514"
"P9712","2014-12","0.188051","-0.224988","0.163812"
"P9713","2014-12","0.184490","-0.221889","0.160084"
"P9714","2014-12","0.175011","-0.235821","0.160514"
"P9715","2014-12","0.171933","-0.232445","0.157869"
"P9701","2014-12","0.241664","-0.218381","0.160416"
"P9703","2014-12","0.032343","-0.158217","0.111404"
"P9716","2014-12","0.241664","-0.218381","0.160416"
"P9717","2014-12","0.010355","-0.166660","0.102952"
"P9705","2015-01","0.125637","-0.025166","-0.028648"
"P9706","2015-01","-0.005396","0.050359","-0.078932"
"P9707","2015-01","0.007212","0.016474","-0.055528"
"P9710","2015-01","-0.000797","0.052645","-0.081815"
"P9709","2015-01","-0.000999","0.053081","-0.082967"
"P9712","2015-01","-0.005396","0.050359","-0.078932"
"P9713","2015-01","-0.005075","0.049927","-0.078005"
"P9714","2015-01","-0.000999","0.053081","-0.082967"
"P9715","2015-01","-0.000797","0.052645","-0.081815"
"P9701","2015-01","-0.020893","0.045124","-0.064807"
"P9703","2015-01","0.049161","0.049967","-0.081315"
"P9716","2015-01","-0.020893","0.045124","-0.064807"
"P9717","2015-01","0.059538","0.051854","-0.085178"
"P9705","2015-02","0.142685","-0.016566","-0.012555"
"P9706","2015-02","0.031900","0.035912","-0.042371"
"P9707","2015-02","0.030771","-0.002184","-0.019493"
"P9710","2015-02","0.035850","0.040034","-0.047464"
"P9709","2015-02","0.035981","0.040995","-0.047363"
"P9712","2015-02","0.031900","0.035912","-0.042371"
"P9713","2015-02","0.031870","0.035113","-0.041916"
"P9714","2015-02","0.035981","0.040995","-0.047363"
"P9715","2015-02","0.035850","0.040034","-0.047464"
"P9701","2015-02","0.020702","0.026870","-0.040909"
"P9703","2015-02","0.068022","0.025692","-0.020567"
"P9716","2015-02","0.020702","0.026870","-0.040909"
"P9717","2015-02","0.078410","0.029109","-0.028517"
"P9705","2015-03","0.257301","0.018632","0.077070"
"P9706","2015-03","0.135439","0.103050","-0.043525"
"P9707","2015-03","0.050825","0.022249","0.008753"
"P9710","2015-03","0.138480","0.107345","-0.042331"
"P9709","2015-03","0.140377","0.110663","-0.041369"
"P9712","2015-03","0.135439","0.103050","-0.043525"
"P9713","2015-03","0.133572","0.099302","-0.044014"
"P9714","2015-03","0.140377","0.110663","-0.041369"
"P9715","2015-03","0.138480","0.107345","-0.042331"
"P9701","2015-03","0.115223","0.089633","-0.026760"
"P9703","2015-03","0.199341","0.078370","-0.016828"
"P9716","2015-03","0.115223","0.089633","-0.026760"
"P9717","2015-03","0.208004","0.083848","-0.007806"
"P9705","2015-04","0.211238","0.047594","-0.022227"
"P9706","2015-04","0.173123","0.038971","-0.000990"
"P9707","2015-04","0.315924","0.050727","-0.028855"
"P9710","2015-04","0.178208","0.037530","-0.003883"
"P9709","2015-04","0.174830","0.035604","-0.000342"
"P9712","2015-04","0.173123","0.038971","-0.000990"
"P9713","2015-04","0.176698","0.041715","-0.004575"
"P9714","2015-04","0.174830","0.035604","-0.000342"
"P9715","2015-04","0.178208","0.037530","-0.003883"
"P9701","2015-04","0.180795","0.024955","-0.005982"
"P9703","2015-04","0.150463","0.070634","-0.033249"
"P9716","2015-04","0.180795","0.024955","-0.005982"
"P9717","2015-04","0.159969","0.059750","-0.030455"
"P9705","2015-05","0.374626","0.041941","0.094420"
"P9706","2015-05","0.045450","0.213817","-0.155083"
"P9707","2015-05","0.135445","0.236765","0.109398"
"P9710","2015-05","0.062606","0.243916","-0.141984"
"P9709","2015-05","0.060699","0.241195","-0.147871"
"P9712","2015-05","0.045450","0.213817","-0.155083"
"P9713","2015-05","0.047855","0.217858","-0.148293"
"P9714","2015-05","0.060699","0.241195","-0.147871"
"P9715","2015-05","0.062606","0.243916","-0.141984"
"P9701","2015-05","0.000138","0.179260","-0.146949"
"P9703","2015-05","0.184552","0.184453","-0.102355"
"P9716","2015-05","0.000138","0.179260","-0.146949"
"P9717","2015-05","0.215925","0.197229","-0.086876"
"P9705","2015-06","-0.213705","-0.002882","-0.028366"
"P9706","2015-06","-0.067051","-0.037501","0.087959"
"P9707","2015-06","-0.112025","0.002412","0.039150"
"P9710","2015-06","-0.076798","-0.048047","0.090140"
"P9709","2015-06","-0.075882","-0.048287","0.087548"
"P9712","2015-06","-0.067051","-0.037501","0.087959"
"P9713","2015-06","-0.068261","-0.037789","0.089525"
"P9714","2015-06","-0.075882","-0.048287","0.087548"
"P9715","2015-06","-0.076798","-0.048047","0.090140"
"P9701","2015-06","-0.048498","-0.021140","0.087122"
"P9703","2015-06","-0.117316","-0.034650","0.058691"
"P9716","2015-06","-0.048498","-0.021140","0.087122"
"P9717","2015-06","-0.135828","-0.045629","0.053970"
"P9705","2015-07","-0.152534","-0.046701","-0.023934"
"P9706","2015-07","-0.146103","-0.058887","0.032981"
"P9707","2015-07","-0.184113","-0.008810","0.007041"
"P9710","2015-07","-0.147427","-0.059302","0.027680"
"P9709","2015-07","-0.146423","-0.059526","0.028091"
"P9712","2015-07","-0.146103","-0.058887","0.032981"
"P9713","2015-07","-0.147167","-0.058526","0.032329"
"P9714","2015-07","-0.146423","-0.059526","0.028091"
"P9715","2015-07","-0.147427","-0.059302","0.027680"
"P9701","2015-07","-0.137730","-0.070718","0.052148"
"P9703","2015-07","-0.171669","-0.013238","-0.010362"
"P9716","2015-07","-0.137730","-0.070718","0.052148"
"P9717","2015-07","-0.168321","-0.023443","-0.017121"
"P9705","2015-08","-0.243724","0.057234","-0.012666"
"P9706","2015-08","-0.142278","0.011870","0.004538"
"P9707","2015-08","-0.171460","0.003652","-0.021147"
"P9710","2015-08","-0.148304","0.005318","0.011191"
"P9709","2015-08","-0.147703","0.005223","0.010289"
"P9712","2015-08","-0.142278","0.011870","0.004538"
"P9713","2015-08","-0.143057","0.011546","0.006218"
"P9714","2015-08","-0.147703","0.005223","0.010289"
"P9715","2015-08","-0.148304","0.005318","0.011191"
"P9701","2015-08","-0.134467","0.019405","0.019114"
"P9703","2015-08","-0.165700","0.025946","-0.000124"
"P9716","2015-08","-0.134467","0.019405","0.019114"
"P9717","2015-08","-0.180078","0.019771","0.006408"
"P9705","2015-09","0.036932","-0.013457","-0.029136"
"P9706","2015-09","-0.054378","0.003205","0.001465"
"P9707","2015-09","-0.004364","-0.004276","-0.050118"
"P9710","2015-09","-0.048847","0.012893","-0.008274"
"P9709","2015-09","-0.050083","0.013907","-0.007356"
"P9712","2015-09","-0.054378","0.003205","0.001465"
"P9713","2015-09","-0.052961","0.002555","-0.000242"
"P9714","2015-09","-0.050083","0.013907","-0.007356"
"P9715","2015-09","-0.048847","0.012893","-0.008274"
"P9701","2015-09","-0.045196","-0.008987","0.008214"
"P9703","2015-09","-0.081150","0.032942","-0.038892"
"P9716","2015-09","-0.045196","-0.008987","0.008214"
"P9717","2015-09","-0.062023","0.043098","-0.049067"
"P9705","2015-10","0.221696","0.073330","-0.071916"
"P9706","2015-10","0.125836","0.106308","-0.084965"
"P9707","2015-10","0.130846","0.067410","-0.048740"
"P9710","2015-10","0.130969","0.107971","-0.086640"
"P9709","2015-10","0.130972","0.108769","-0.085249"
"P9712","2015-10","0.125836","0.106308","-0.084965"
"P9713","2015-10","0.125980","0.105417","-0.087773"
"P9714","2015-10","0.130972","0.108769","-0.085249"
"P9715","2015-10","0.130969","0.107971","-0.086640"
"P9701","2015-10","0.104140","0.091270","-0.094154"
"P9703","2015-10","0.186408","0.082193","-0.057554"
"P9716","2015-10","0.104140","0.091270","-0.094154"
"P9717","2015-10","0.192645","0.084186","-0.054949"
"P9705","2015-11","0.124886","0.042621","0.024634"
"P9706","2015-11","0.026951","0.111880","-0.030140"
"P9707","2015-11","0.059014","0.045602","-0.030856"
"P9710","2015-11","0.033588","0.113603","-0.028210"
"P9709","2015-11","0.032864","0.115679","-0.029977"
"P9712","2015-11","0.026951","0.111880","-0.030140"
"P9713","2015-11","0.027893","0.110135","-0.029428"
"P9714","2015-11","0.032864","0.115679","-0.029977"
"P9715","2015-11","0.033588","0.113603","-0.028210"
"P9701","2015-11","0.011964","0.113270","-0.028316"
"P9703","2015-11","0.065665","0.105926","-0.025586"
"P9716","2015-11","0.011964","0.113270","-0.028316"
"P9717","2015-11","0.076749","0.104752","-0.024490"
"P9705","2015-12","0.032545","0.078318","-0.007100"
"P9706","2015-12","0.032657","0.072198","-0.036090"
"P9707","2015-12","0.089055","0.056500","-0.036782"
"P9710","2015-12","0.034075","0.070869","-0.029720"
"P9709","2015-12","0.032649","0.071379","-0.030819"
"P9712","2015-12","0.032657","0.072198","-0.036090"
"P9713","2015-12","0.034178","0.071610","-0.034647"
"P9714","2015-12","0.032649","0.071379","-0.030819"
"P9715","2015-12","0.034075","0.070869","-0.029720"
"P9701","2015-12","0.022588","0.068990","-0.037795"
"P9703","2015-12","0.057942","0.070509","-0.022630"
"P9716","2015-12","0.022588","0.068990","-0.037795"
"P9717","2015-12","0.052947","0.064759","-0.015748"
"P9705","2016-01","-0.311838","-0.013245","0.001642"
"P9706","2016-01","-0.238123","-0.063587","0.056645"
"P9707","2016-01","-0.162405","-0.001934","0.026120"
"P9710","2016-01","-0.240887","-0.062362","0.057309"
"P9709","2016-01","-0.242882","-0.065590","0.057358"
"P9712","2016-01","-0.238123","-0.063587","0.056645"
"P9713","2016-01","-0.236120","-0.059643","0.056744"
"P9714","2016-01","-0.242882","-0.065590","0.057358"
"P9715","2016-01","-0.240887","-0.062362","0.057309"
"P9701","2016-01","-0.219398","-0.065940","0.061661"
"P9703","2016-01","-0.284285","-0.035693","0.021397"
"P9716","2016-01","-0.219398","-0.065940","0.061661"
"P9717","2016-01","-0.289602","-0.037131","0.023240"
"P9705","2016-02","-0.072361","-0.006156","0.026096"
"P9706","2016-02","-0.023854","0.004862","0.012250"
"P9707","2016-02","-0.037387","-0.013312","-0.001481"
"P9710","2016-02","-0.027049","-0.000876","0.015637"
"P9709","2016-02","-0.026787","-0.000700","0.015814"
"P9712","2016-02","-0.023854","0.004862","0.012250"
"P9713","2016-02","-0.024210","0.004306","0.012345"
"P9715","2016-02","-0.027049","-0.000876","0.015637"
"P9714","2016-02","-0.026787","-0.000700","0.015814"
"P9701","2016-02","-0.022287","-0.000138","-0.000961"
"P9703","2016-02","-0.028013","0.009382","0.029339"
"P9716","2016-02","-0.022287","-0.000138","-0.000961"
"P9717","2016-02","-0.036452","-0.000051","0.032108"
"P9705","2016-03","0.218184","-0.007258","0.036319"
"P9706","2016-03","0.129313","0.061977","-0.062220"
"P9707","2016-03","0.092069","0.005025","-0.066067"
"P9710","2016-03","0.133436","0.062097","-0.060982"
"P9709","2016-03","0.134475","0.064168","-0.061516"
"P9712","2016-03","0.129313","0.061977","-0.062220"
"P9713","2016-03","0.128347","0.059634","-0.062381"
"P9715","2016-03","0.133436","0.062097","-0.060982"
"P9714","2016-03","0.134475","0.064168","-0.061516"
"P9701","2016-03","0.113832","0.057718","-0.065462"
"P9703","2016-03","0.170814","0.051509","-0.040462"
"P9716","2016-03","0.113832","0.057718","-0.065462"
"P9717","2016-03","0.179576","0.050732","-0.039118"
"P9705","2016-04","-0.028313","0.039298","-0.026098"
"P9706","2016-04","-0.021192","0.037517","0.002069"
"P9707","2016-04","-0.021804","0.000594","-0.015112"
"P9710","2016-04","-0.021629","0.033394","0.002076"
"P9709","2016-04","-0.021624","0.034053","0.001921"
"P9712","2016-04","-0.021192","0.037517","0.002069"
"P9713","2016-04","-0.021208","0.036315","0.002825"
"P9715","2016-04","-0.021629","0.033394","0.002076"
"P9714","2016-04","-0.021624","0.034053","0.001921"
"P9701","2016-04","-0.021677","0.034922","-0.009176"
"P9703","2016-04","-0.019951","0.038643","0.006336"
"P9716","2016-04","-0.021677","0.034922","-0.009176"
"P9717","2016-04","-0.021514","0.034306","0.002667"
"P9705","2016-05","0.018209","0.006109","0.027470"
"P9706","2016-05","-0.003939","-0.039309","0.001050"
"P9707","2016-05","-0.056040","-0.004825","0.015822"
"P9710","2016-05","-0.003956","-0.030037","0.004137"
"P9709","2016-05","-0.002570","-0.030433","0.003401"
"P9712","2016-05","-0.003939","-0.039309","0.001050"
"P9713","2016-05","-0.005376","-0.038421","0.001297"
"P9715","2016-05","-0.003956","-0.030037","0.004137"
"P9714","2016-05","-0.002570","-0.030433","0.003401"
"P9701","2016-05","-0.002267","-0.043209","0.011396"
"P9703","2016-05","-0.008243","-0.032153","-0.014309"
"P9716","2016-05","-0.002267","-0.043209","0.011396"
"P9717","2016-05","-0.003202","-0.018499","-0.005637"
"P9710","2016-06","0.021022","0.049162","-0.011975"
"P9706","2016-06","0.017315","0.039646","-0.011993"
"P9707","2016-06","0.007889","0.027052","0.004824"
"P9705","2016-06","0.078000","0.019148","0.063230"
"P9709","2016-06","0.021352","0.050193","-0.012338"
"P9712","2016-06","0.017315","0.039646","-0.011993"
"P9713","2016-06","0.017068","0.038988","-0.012523"
"P9715","2016-06","0.021022","0.049162","-0.011975"
"P9714","2016-06","0.021352","0.050193","-0.012338"
"P9701","2016-06","0.006391","0.030072","-0.008493"
"P9703","2016-06","0.045037","0.033515","-0.011184"
"P9716","2016-06","0.006391","0.030072","-0.008493"
"P9717","2016-06","0.051674","0.049048","-0.011416"
"P9707","2016-07","0.020102","-0.013783","0.071988"
"P9710","2016-07","0.014784","-0.025758","0.038543"
"P9706","2016-07","0.020541","-0.019396","0.031216"
"P9705","2016-07","-0.060339","0.003298","0.000624"
"P9709","2016-07","0.014646","-0.026198","0.038034"
"P9712","2016-07","0.020541","-0.019396","0.031216"
"P9713","2016-07","0.020529","-0.019052","0.031948"
"P9715","2016-07","0.014784","-0.025758","0.038543"
"P9714","2016-07","0.014646","-0.026198","0.038034"
"P9701","2016-07","0.032071","-0.026439","0.008670"
"P9703","2016-07","-0.005938","0.000378","0.030102"
"P9716","2016-07","0.032071","-0.026439","0.008670"
"P9717","2016-07","-0.017136","-0.010125","0.034767"
"P9706","2016-08","0.039888","0.023249","0.002691"
"P9705","2016-08","0.047323","0.017149","0.024953"
"P9710","2016-08","0.039946","0.022283","0.006488"
"P9707","2016-08","0.023009","0.007126","-0.006424"
"P9709","2016-08","0.040394","0.022813","0.007255"
"P9712","2016-08","0.039888","0.023249","0.002691"
"P9713","2016-08","0.039422","0.022509","0.002344"
"P9715","2016-08","0.039946","0.022283","0.006488"
"P9714","2016-08","0.040394","0.022813","0.007255"
"P9701","2016-08","0.036182","0.030977","0.008347"
"P9703","2016-08","0.048724","0.012586","0.025484"
"P9716","2016-08","0.036182","0.030977","0.008347"
"P9717","2016-08","0.048446","0.010966","0.031676"
"P9705","2016-09","-0.023866","0.032841","-0.006456"
"P9706","2016-09","-0.021001","0.034513","-0.005151"
"P9707","2016-09","0.002753","0.011361","0.023665"
"P9710","2016-09","-0.020585","0.027290","-0.003681"
"P9709","2016-09","-0.021195","0.028970","-0.001498"
"P9712","2016-09","-0.021001","0.034513","-0.005151"
"P9713","2016-09","-0.020353","0.032820","-0.006647"
"P9715","2016-09","-0.020585","0.027290","-0.003681"
"P9714","2016-09","-0.021195","0.028970","-0.001498"
"P9701","2016-09","-0.024201","0.034737","-0.011705"
"P9703","2016-09","-0.013471","0.037294","-0.000852"
"P9716","2016-09","-0.024201","0.034737","-0.011705"
"P9717","2016-09","-0.015508","0.027134","0.005644"
"P9705","2016-10","0.022292","0.031210","-0.003233"
"P9706","2016-10","0.027914","0.017568","0.003094"
"P9707","2016-10","-0.027680","0.019120","0.037339"
"P9710","2016-10","0.026192","0.017529","0.005292"
"P9709","2016-10","0.027528","0.017844","0.005547"
"P9712","2016-10","0.027914","0.017568","0.003094"
"P9713","2016-10","0.026472","0.017081","0.003012"
"P9715","2016-10","0.026192","0.017529","0.005292"
"P9714","2016-10","0.027528","0.017844","0.005547"
"P9701","2016-10","0.029188","0.011489","-0.002863"
"P9703","2016-10","0.024956","0.029529","0.000460"
"P9716","2016-10","0.029188","0.011489","-0.002863"
"P9717","2016-10","0.024432","0.029379","0.001641"
"P9705","2016-11","0.022231","0.015726","0.006342"
"P9706","2016-11","0.044223","-0.010746","0.026210"
"P9707","2016-11","0.015459","-0.011351","-0.002253"
"P9710","2016-11","0.042063","-0.007109","0.023302"
"P9709","2016-11","0.042718","-0.007053","0.024051"
"P9712","2016-11","0.044223","-0.010746","0.026210"
"P9713","2016-11","0.043482","-0.010675","0.025128"
"P9715","2016-11","0.042063","-0.007109","0.023302"
"P9714","2016-11","0.042718","-0.007053","0.024051"
"P9701","2016-11","0.052453","-0.012229","0.020820"
"P9703","2016-11","0.024981","0.003562","0.029302"
"P9716","2016-11","0.052453","-0.012229","0.020820"
"P9717","2016-11","0.024440","0.006405","0.025886"
"P9709","2016-12","-0.048612","0.017795","0.019535"
"P9705","2016-12","-0.092834","0.037461","-0.000284"
"P9706","2016-12","-0.045318","0.025728","0.008234"
"P9707","2016-12","-0.028298","0.025824","0.011225"
"P9710","2016-12","-0.048097","0.018140","0.020336"
"P9712","2016-12","-0.045318","0.025728","0.008234"
"P9713","2016-12","-0.044855","0.025810","0.009474"
"P9715","2016-12","-0.048097","0.018140","0.020336"
"P9714","2016-12","-0.048612","0.017795","0.019535"
"P9701","2016-12","-0.040031","0.022313","-0.005561"
"P9703","2016-12","-0.057755","0.043061","-0.013000"
"P9716","2016-12","-0.040031","0.022313","-0.005561"
"P9717","2016-12","-0.064765","0.031142","0.003506"
"P9705","2017-01","-0.046546","-0.009668","-0.012072"
"P9706","2017-01","0.017481","-0.041541","0.035785"
"P9707","2017-01","-0.009003","-0.011889","0.044422"
"P9709","2017-01","0.013269","-0.043772","0.036601"
"P9710","2017-01","0.012715","-0.042767","0.036816"
"P9712","2017-01","0.017481","-0.041541","0.035785"
"P9713","2017-01","0.016777","-0.040496","0.035938"
"P9715","2017-01","0.012715","-0.042767","0.036816"
"P9714","2017-01","0.013269","-0.043772","0.036601"
"P9701","2017-01","0.029682","-0.052810","0.031224"
"P9703","2017-01","-0.011333","-0.023003","0.024691"
"P9716","2017-01","0.029682","-0.052810","0.031224"
"P9717","2017-01","-0.018073","-0.026489","0.023304"
"P9705","2017-02","0.035655","0.009511","-0.005172"
"P9706","2017-02","0.024316","0.015617","0.002453"
"P9707","2017-02","0.029498","-0.008515","0.034295"
"P9709","2017-02","0.025025","0.016225","-0.000236"
"P9710","2017-02","0.025134","0.015617","-0.001109"
"P9712","2017-02","0.024316","0.015617","0.002453"
"P9713","2017-02","0.024449","0.015198","0.001989"
"P9715","2017-02","0.025134","0.015617","-0.001109"
"P9714","2017-02","0.025025","0.016225","-0.000236"
"P9701","2017-02","0.019417","0.022134","0.003494"
"P9703","2017-02","0.036322","-0.000511","0.011680"
"P9716","2017-02","0.019417","0.022134","0.003494"
"P9717","2017-02","0.036197","0.002114","0.006978"
"P9705","2017-03","-0.015819","-0.011168","0.024415"
"P9706","2017-03","-0.005209","-0.022792","0.012869"
"P9707","2017-03","-0.013235","-0.035029","0.043023"
"P9709","2017-03","-0.005893","-0.021280","0.015728"
"P9710","2017-03","-0.006077","-0.021823","0.015810"
"P9712","2017-03","-0.005209","-0.022792","0.012869"
"P9713","2017-03","-0.005423","-0.023296","0.013656"
"P9715","2017-03","-0.006077","-0.021823","0.015810"
"P9714","2017-03","-0.005893","-0.021280","0.015728"
"P9701","2017-03","-0.006042","-0.027782","0.012690"
"P9703","2017-03","-0.003169","-0.023635","0.006798"
"P9716","2017-03","-0.006042","-0.027782","0.012690"
"P9717","2017-03","-0.005598","-0.021414","0.012197"
"P9705","2017-04","-0.049002","-0.057792","0.053524"
"P9706","2017-04","-0.019859","-0.050380","0.033696"
"P9707","2017-04","-0.005487","-0.021675","0.033318"
"P9709","2017-04","-0.021697","-0.049217","0.034233"
